NO,NAMA RUMAH,HARGA,Luas bangunan,Luas tanah,Kamar tidur,Kamar mandi,Kapasitas mobil dalam garasi
150,"Rumah Siap Huni Di Tebet Timur, Jalan Lebar, Dengan Kolam Renang Outdoor","0,2188","0,1759","0,1902","0,2500","0,4444","0,1111"
151,"Rumah Hitung Tanah Di Jalan Lebar, Kawasan Nyaman, Paling Murah!!","0,2188","0,3170","0,3908","0,3750","0,3333","0,2222"
152,"Rumah Di Jalan 1 Mobil Kawasan Nyaman Tebet Timur, Jakarta Selatan","0,0203","0,0348","0,0267","0,0000","0,1111","0,0000"
153,"Tebet Barat Rumah Bagus Siap Huni, jakarta Selatan","0,0461","0,1289","0,0832","0,2500","0,3333","0,2222"
154,"Tebet Rumah Lama Murah, Jakarta Selatan","0,0273","0,0536","0,0602","0,1250","0,1111","0,0000"
155,"Tebet Barat Rumah Murah Strategis Area, Jakarta Selatan","0,0352","0,1769","0,0684","0,7500","0,7778","0,1111"
156,Rumah Cantik Siap Huni,"0,0248","0,1007","0,0163","0,1250","0,2222","0,1111"
157,Regensi Tebet Mas,"0,0547","0,0724","0,0639","0,3750","0,3333","0,1111"
158,Rumah bagus SIAP HUNI Akses Jalan 2 Mobil One Way di Tebet Timur,"0,0547","0,1289","0,0698","0,3750","0,3333","0,1111"
159,"5 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta","0,0961","0,1759","0,0802","0,3750","0,2222","0,1111"
160,"Rumah Bagus 2 Lt Akses Jalan Lebar di Tebet Utara, Jakarta Selatan","0,0859","0,1712","0,0527","0,2500","0,2222","0,2222"
161,Rumah mewah siap huni di tebet barat jakarta selatan,"0,0898","0,2700","0,1159","0,2500","0,3333","0,0000"
162,Rumah Tebet Barat Dalam LT480 Jakarta Selatan,"0,3438","0,3923","0,4056","1,0000","0,3333","0,1111"
163,"Rumah Siap Huni di Tebet Timur 1, Jalan Lebar 3 Mobil","0,0859","0,1289","0,1248","0,5000","0,1111","0,1111"
164,"Rumah di Tebet Utara Jalan 2 Mobil, Lingkungan Nyaman dan Lokasi Strategis Akses Mudah Dijangkau","0,0406","0,1007","0,0684","0,2500","0,2222","0,0000"
165,"Dijual Rumah Mewah 2 Lantai di Tebet Barat, Jalan 3 Mobil, Lingkungan Nyaman dan Aman","0,1219","0,3170","0,1308","0,5000","0,5556","0,1111"
166,"TEBET TIMUR LT 135 M2 - Rumah Termurah, Hitung Tanah Saja","0,0141","0,0677","0,0602","0,1250","0,2222","0,1111"
167,Rumah Mewah Brand New Jalan Utama Tebet Timur Dalam,"0,4375","0,8627","0,4591","0,3750","0,5556","0,3333"
